#,Code,Name,Native,Dir
1,aa,Afar,Afar,ltr
2,ab,Abkhazian,Аҧсуа,ltr
3,af,Afrikaans,Afrikaans,ltr
4,ak,Akan,Akana,ltr
5,am,Amharic,አማርኛ,ltr
6,an,Aragonese,Aragonés,ltr
7,ar,Arabic,العربية,rtl
8,as,Assamese,অসমীয়া,ltr
9,av,Avar,Авар,ltr
10,ay,Aymara,Aymar,ltr
11,az,Azerbaijani,Azərbaycanca / آذربايجان,ltr
12,ba,Bashkir,Башҡорт,ltr
13,be,Belarusian,Беларуская,ltr
14,bg,Bulgarian,Български,ltr
15,bh,Bihari,भोजपुरी,ltr
16,bi,Bislama,Bislama,ltr
17,bm,Bambara,Bamanankan,ltr
18,bn,Bengali,বাংলা,ltr
19,bo,Tibetan,བོད་ཡིག / Bod skad,ltr
20,br,Breton,Brezhoneg,ltr
21,bs,Bosnian,Bosanski,ltr
22,ca,Catalan,Català,ltr
23,ce,Chechen,Нохчийн,ltr
24,ch,Chamorro,Chamoru,ltr
25,co,Corsican,Corsu,ltr
26,cr,Cree,Nehiyaw,ltr
27,cs,Czech,Česky,ltr
28,cu,Old Church Slavonic / Old Bulgarian,словѣньскъ / slověnĭskŭ,ltr
29,cv,Chuvash,Чăваш,ltr
30,cy,Welsh,Cymraeg,ltr
31,da,Danish,Dansk,ltr
32,de,German,Deutsch,ltr
33,dv,Divehi,ދިވެހިބަސް,rtl
34,dz,Dzongkha,ཇོང་ཁ,ltr
35,ee,Ewe,Ɛʋɛ,ltr
36,el,Greek,Ελληνικά,ltr
37,en,English,English,ltr
38,eo,Esperanto,Esperanto,ltr
39,es,Spanish,Español,ltr
40,et,Estonian,Eesti,ltr
41,eu,Basque,Euskara,ltr
42,fa,Persian,فارسی,rtl
43,ff,Peul,Fulfulde,ltr
44,fi,Finnish,Suomi,ltr
45,fj,Fijian,Na Vosa Vakaviti,ltr
46,fo,Faroese,Føroyskt,ltr
47,fr,French,Français,ltr
48,fy,West Frisian,Frysk,ltr
49,ga,Irish,Gaeilge,ltr
50,gd,Scottish Gaelic,Gàidhlig,ltr
51,gl,Galician,Galego,ltr
52,gn,Guarani,Avañe'ẽ,ltr
53,gu,Gujarati,ગુજરાતી,ltr
54,gv,Manx,Gaelg,ltr
55,ha,Hausa,هَوُسَ,rtl
56,he,Hebrew,עברית,rtl
57,hi,Hindi,हिन्दी,ltr
58,ho,Hiri Motu,Hiri Motu,ltr
59,hr,Croatian,Hrvatski,ltr
60,ht,Haitian,Krèyol ayisyen,ltr
61,hu,Hungarian,Magyar,ltr
62,hy,Armenian,Հայերեն,ltr
63,hz,Herero,Otsiherero,ltr
64,ia,Interlingua,Interlingua,ltr
65,id,Indonesian,Bahasa Indonesia,ltr
66,ie,Interlingue,Interlingue,ltr
67,ig,Igbo,Igbo,ltr
