,model_name,avg,mnli_lp,20_newsgroup,ag_news,amazon_reviews_multi,anli,boolq,cb,cola,copa,dbpedia,esnli,financial_phrasebank,imdb,isear,mnli,mrpc,multirc,poem_sentiment,qnli,qqp,rotten_tomatoes,rte,sst2,sst_5bins,stsb,trec_coarse,trec_fine,tweet_ev_emoji,tweet_ev_emotion,tweet_ev_hate,tweet_ev_irony,tweet_ev_offensive,tweet_ev_sentiment,wic,wnli,wsc,yahoo_answers
10,din0s/t5-base-eli5-ob,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,allenai/unifiedqa-t5-base,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,allenai/unifiedqa-v2-t5-base-1251000,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,allenai/unifiedqa-v2-t5-base-1363200,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,candra/t5-base-indo-summ,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,irenepap/t5-base-asqa-ob,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Suva/uptag-keyphrase-model,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,luisespinosa/t5-base-protoqa-v1,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,mlinda/conversation-summarizer,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PSW/t5-base-dialogsumgen-xsum-conv-dialogsum-seed42,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PSW/t5-base-tweetsummgen-xsum-conv-tweetsumm-seed42,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PSW/t5-base-samsumgen-xsum-conv-samsum-seed42,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,adit94/nlpcharade,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PSW/t5-base-samsum-seed55,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PSW/t5-base-dialogsum-seed55,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PSW/t5-base-samsum-seed36,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PSW/t5-base-dialogsum-seed17,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PSW/t5-base-dialogsum-seed33,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PSW/t5-base-dialogsum-seed36,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PSW/t5-base-samsum-seed17,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PSW/t5-base-samsum-seed33,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PSW/t5-base-dialogsum-seed42,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PSW/t5-base-samsum-seed42,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PSW/t5-base-tweetsumm-seed17,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PSW/t5-base-tweetsumm-seed36,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PSW/t5-base-tweetsumm-seed55,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PSW/t5-base-tweetsumm-seed33,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PSW/t5-base-tweetsumm-seed42,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,mrm8488/t5-base-finetuned-e2m-intent,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,mrm8488/t5-base-finetuned-common_gen,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PSW/t5-base-dialogsumgen-xsum-conv-dialogsum-seed33,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PSW/t5-base-tweetsummgen-xsum-conv-tweetsumm-seed33,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PSW/t5-base-samsumgen-xsum-conv-samsum-seed33,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,rkp74/t5_automated_mcq,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PSW/t5-base-mediasum-seed42,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
